"ID2009","Candidate","State","Constituency_No2009","Position2009","Sex","Party2009","Constituency_Name2009","Vote_Share_Percentage2009","Margin_Percentage2009","ReNominated","ID2014","Candidate2014","Constituency_No2014","Position2014","Party2014","Constituency_Name2014","Vote_Share_Percentage2014","Margin_Percentage2014","PostGraduate","CriminalCase","Moveable","Immoveable"
101,"SHRI. BISHNU PADA RAY","Andaman_&_Nicobar_Islands",1,1,"M","BJP","ANDAMAN & NICOBAR ISLANDS",44.21,1.76,1,101,"BISHNU PADA RAY",1,1,"BJP","ANDAMAN & NICOBAR ISLANDS",47.8,4.1,0,1,548049,612500
101,"SHRI. KULDEEP RAI SHARMA","Andaman_&_Nicobar_Islands",1,2,"M","INC","ANDAMAN & NICOBAR ISLANDS",42.46,38.23,1,101,"KULDEEP RAI SHARMA",1,2,"INC","ANDAMAN & NICOBAR ISLANDS",43.69,41.73,0,0,37131,5355000
201,"RATHOD RAMESH","Andhra_Pradesh",1,1,"M","TDP","ADILABAD",43.11,13.33,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1465000,2345000
201,"KOTNAK RAMESH","Andhra_Pradesh",1,2,"M","INC","ADILABAD",29.78,16.7,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8e+05,1800000
202,"DR.G.VIVEKANAND","Andhra_Pradesh",2,1,"M","INC","PEDDAPALLE",34.7,5.42,1,202,"G. VIVEKANAND",2,2,"INC","PEDDAPALLE",26.84,20.64,1,0,2.4e+08,4.9e+08
202,"GOMASA SRINIVAS","Andhra_Pradesh",2,2,"M","TRS","PEDDAPALLE",29.28,9.86,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1542000,29200000
203,"PONNAM PRABHAKAR","Andhra_Pradesh",3,1,"M","INC","KARIMNAGAR",32.14,5.08,1,203,"PONNAM PRABHAKAR",3,2,"INC","KARIMNAGAR",26.73,7.63,1,0,1287000,NA
203,"VINOD KUMAR BOINAPALLY","Andhra_Pradesh",3,2,"M","TRS","KARIMNAGAR",27.06,9.31,1,203,"VINOD KUMAR BOINAPALLY",3,1,"TRS","KARIMNAGAR",44.91,18.19,0,0,6695999,45800000
204,"MADHU YASKHI GOUD","Andhra_Pradesh",4,1,"M","INC","NIZAMABAD",33.33,6.79,1,204,"MADHU YASKHI GOUD",4,2,"INC","NIZAMABAD",26.32,4.53,1,0,59900000,47100000
204,"BIGALA GANESH GUPTA","Andhra_Pradesh",4,2,"M","TRS","NIZAMABAD",26.54,7.91,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6695600,33400000
205,"SURESH KUMAR SHETKAR","Andhra_Pradesh",5,1,"M","INC","ZAHIRABAD",38.9,1.71,1,205,"SURESH KUMAR SHETKAR",5,2,"INC","ZAHIRABAD",33.25,18.86,0,0,NA,NA
205,"SYED YOUSUF ALI","Andhra_Pradesh",5,2,"M","TRS","ZAHIRABAD",37.19,26.11,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3300000,9600000
206,"VIJAYA SHANTHI .M","Andhra_Pradesh",6,1,"F","TRS","MEDAK",36.67,0.57,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
206,"NARENDRANATH .C","Andhra_Pradesh",6,2,"M","INC","MEDAK",36.1,24.71,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
207,"SARVEY SATHYANARAYANA","Andhra_Pradesh",7,1,"M","INC","MALKAJGIRI",32.21,7.74,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,3651252,4500000
207,"BHEEMSEN.T","Andhra_Pradesh",7,2,"M","TDP","MALKAJGIRI",24.47,4.66,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,3356116,5e+05
208,"ANJAN KUMAR YADAV M","Andhra_Pradesh",8,1,"M","INC","SECUNDRABAD",39.37,19.67,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
209,"ASADUDDIN OWAISI","Andhra_Pradesh",9,1,"M","AIMIM","HYDERABAD",42.14,15.57,1,209,"ASADUDDIN OWAISI",9,1,"AIMIM","HYDERABAD",52.9,20.84,1,1,6133013,6295000
209,"ZAHID ALI KHAN","Andhra_Pradesh",9,2,"M","TDP","HYDERABAD",26.56,13.72,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
2010,"JAIPAL REDDY SUDINI","Andhra_Pradesh",10,1,"M","INC","CHELVELLA",38.78,1.71,1,2011,"JAIPAL REDDY SUDINI",11,2,"INC","MAHBUBNAGAR",32.68,5.8,1,0,1200333,5.5e+07
2010,"A.P.JITHENDER REDDY","Andhra_Pradesh",10,2,"M","TDP","CHELVELLA",37.08,26.69,1,2011,"AP JITHENDER REDDY",11,1,"TRS","MAHBUBNAGAR",32.94,0.26,0,0,15200000,2.66e+08
2011,"K. CHANDRASEKHAR RAO","Andhra_Pradesh",11,1,"M","TRS","MAHBUBNAGAR",39.56,2.18,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1406000,21300000
2011,"DEVARAKONDA VITTAL RAO","Andhra_Pradesh",11,2,"M","INC","MAHBUBNAGAR",37.39,31.13,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6234958,54200000
2012,"DR. MANDA JAGANNATH","Andhra_Pradesh",12,1,"M","INC","NAGARKURNOOL",41.23,4.66,1,2012,"DR. MANDA JAGANNATH",12,2,"TRS","NAGARKURNOOL",36.38,19.84,1,0,NA,NA
2012,"GUVVALA BALARAJU","Andhra_Pradesh",12,2,"M","TRS","NAGARKURNOOL",36.57,30.5,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,159600,150000
2013,"GUTHA SUKENDER REDDY","Andhra_Pradesh",13,1,"M","INC","NALGONDA",45.78,14.18,1,2013,"GUTHA SUKHENDER REDDY",13,1,"INC","NALGONDA",39.69,16.24,0,0,NA,NA
2013,"SURAVARAM SUDHAKAR REDDY","Andhra_Pradesh",13,2,"M","CPI","NALGONDA",31.6,17.67,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
2014,"KOMATIREDDY RAJ GOPAL REDDY","Andhra_Pradesh",14,1,"M","INC","BHONGIR",44.7,12.4,1,2014,"KOMATIREDDY RAJGOPAL REDDY",14,2,"INC","BHONGIR",34.46,19.34,0,0,4.5e+07,1.54e+08
2014,"NOMULA NARSIMHAIAH","Andhra_Pradesh",14,2,"M","CPM","BHONGIR",32.29,23,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1658768,4827500
